200,620e-6,60.7,1.0033,1e-3,132e-3,1.44e-3
410,1.16e-3,75.8,1.0082,1e-3,123e-3,640e-6
580,1.6e-3,80.1,1.0029,1e-3,132e-3,640e-6
910,2.49e-3,84,996e-3,1e-3,132e-3,260e-6
1.17e3,3.18e-3,85.7,.994,1e-3,132e-3,260e-6
3e3,8.35e-3,87.7,.9899,2e-3,128e-3,88e-6
6.7e3,19.76e-3,88.9,.9989,3e-3,128e-3,32e-6
10.4e3,41.1e-3,86.6,.9986,6e-3,128e-3,23e-6
13.9e3,89.1e-3,83.8,.9886,12e-3,128e-3,18e-6
14.8e3,115.4e-3,81.4,988.3e-3,15e-3,128e-3,18e-6
15.5e3,147e-3,78.9,988.7e-3,19e-3,128e-3,15.6e-6
16e3,182.4e-3,76.4,988.9e-3,24e-3,128e-3,15.6e-6
16.9e3,298.3e-3,66.7,989.6e-3,39e-3,128e-3,15.6e-6
17.2e3,371e-3,60.8,990.3e-3,48e-3,132e-3,15.6e-6
17.6e3,512.1e-3,47.1,992.3e-3,68e-3,132e-3,15.6e-6
17.8e3,607.6e-3,35.8,994e-3,80e-3,132e-3,15.6e-6
17.9e3,673.1e-3,25.7,995.0e-3,80e-3,132e-3,15.6e-6
18.1e3,731.8e-3,11.9,996.3e-3,98e-3,123e-3,15.6e-6
18.22e3,746.8e-3,0.4,996.3e-3,98e-3,132e-3,15.6e-6
18.33e3,735.7e-3,-10.1,996.3e-3,98e-3,98e-3,15.6e-6
18.47e3,696.6e-3,-21.9,995.6e-3,90e-3,132e-3,12.4e-6
18.64e3,615e-3,-34.1,993e-3,80e-3,132e-3,12.4e-6
18.8e3,531e-3,-44.3,993.0e-3,70e-3,132e-3,12.4e-6
19.0e3,461e-3,-51.9,991.8e-3,70e-3,132e-3,12.4e-6
19.36e3,358.5e-3,-61.2,990.4e-3,46e-3,132e-3,12.4e-6
20.19e3,227.6e-3,-71.9,989.3e-3,30e-3,132e-3,9.6e-6
21.7e3,134.2e-3,-79.1,988.7e-3,18e-3,132e-3,9.6e-6
24.29e3,84e-3,-83.1,988.3e-3,11e-3,128e-3,9.8e-6
28.3e3,54.0e-3,-84.8,988.3e-3,7e-3,128e-3,7.6e-6
37.1e3,31e-3,-88,988.3e-3,4e-3,128e-3,5.2e-6
48.3e3,25e-3,-89,988.3e-3,4e-3,128e-3,5.2e-6
