Resistenza,"$f_{ris,teo}$[Hz]","$f_r{ris,exp}$[Hz]",\makecell{Valore di \ picco sperimentale},Larghezza picco teorica [Hz],Larghezza picco sperimentale [Hz]
$9939 \pm2$,$17189.480283465753\pm20.881270513457455$,$18231.459552949545 \pm 19.413943025674765$,$0.6133239690980234 \pm 0$,$498.8629484522826\pm 6.838555458863969$,$726.456159952304\pm 61.0678656149251$
$5105.0 \pm2$,$17189.480283465753\pm20.881270513457455$,$18224.333113890676 \pm 38.945617877238185$,$0.7495734216601426 \pm 0$,$862.9376240473903\pm 7.114461244392264$,$1329.969809772021\pm 73.2480814803742$
$467.34 \pm0.2$,$17189.480283465753\pm20.881270513457455$,$18241.1384532597 \pm 25.641204816265994$,$0.9696695791905192 \pm 0$,$8865.756192932891\pm 7.896765187163409$,$9841.862778040711\pm 890.0372717108146$
