980.0,(-30.314197668573183+0.16948353211080733j)
3600.0,(-30.247979843122447+0.9134226267430822j)
11400.0,(-30.006889484638606+2.913770440662852j)
38100.0,(-27.45871199805971+8.970642410096225j)
88600.0,(-19.21966824381097+14.776414554254876j)
141300.0,(-12.14398982616143+15.065205624407279j)
200000.0,(-7.514985238549939+13.34595383053871j)
159000.0,(-10.45105106203956+14.646978797209638j)
100.0,(-30.197319545878308-0.6392362748648022j)
250.0,(-30.24117417406446-0.18291056136183162j)
520.0,(-30.283149181978896+0.01774951764887215j)
